Original Text,NER Tag Pairs,Has Medical Info
In 2009 it was announced the Erinle had signed with French team Biarritz Olympique .,"[('O','In'),('O','2009'),('O','it'),('O','was'),('O','announced'),('O','the'),('O','Erinle'),('O','had'),('O','signed'),('O','with'),('O','French'),('O','team'),('O','Biarritz'),('O','Olympique'),('O','.')]",0
"On 4 November 2009 , he was named in the 22-man England squad to face Australia in the 2009 Autumn internationals . O","[('O','On'),('O','4'),('O','November'),('O','2009'),('O',','),('O','he'),('O','was'),('O','named'),('O','in'),('O','the'),('O','22-man'),('O','England'),('O','squad'),('O','to'),('O','face'),('O','Australia'),('O','in'),('O','the'),('O','2009'),('O','Autumn'),('O','internationals'),('O','.')]",0
"After winning his first cap as a replacement against Australia , Erinle was named in the starting XV for the game against the All Blacks . O","[('O','After'),('O','winning'),('O','his'),('O','first'),('O','cap'),('O','as'),('O','a'),('O','replacement'),('O','against'),('O','Australia'),('O',','),('O','Erinle'),('O','was'),('O','named'),('O','in'),('O','the'),('O','starting'),('O','XV'),('O','for'),('O','the'),('O','game'),('O','against'),('O','the'),('O','All'),('O','Blacks'),('O','.')]",0
"In August 2011 he joined Nottingham in the Aviva Championship , joining up with Director of Rugby Glenn Delaney for a second spell .","[('O','In'),('O','August'),('O','2011'),('O','he'),('O','joined'),('O','Nottingham'),('O','in'),('O','the'),('O','Aviva'),('O','Championship'),('O',','),('O','joining'),('O','up'),('O','with'),('O','Director'),('O','of'),('O','Rugby'),('O','Glenn'),('O','Delaney'),('O','for'),('O','a'),('O','second'),('O','spell'),('O','.')]",0
In August 2012 he joined US Carcassonne in the Pro D2 . O,"[('O','In'),('O','August'),('O','2012'),('O','he'),('O','joined'),('O','US'),('O','Carcassonne'),('O','in'),('O','the'),('O','Pro'),('O','D2'),('O','.')]",0
"During his time at Leicester , Erinle and teammates George Chuter , Dan Hipkiss and Sam Vesty , performed as a band to raise money for the Matt Hampson Trust .","[('O','During'),('O','his'),('O','time'),('O','at'),('O','Leicester'),('O',','),('O','Erinle'),('O','and'),('O','teammates'),('O','George'),('O','Chuter'),('O',','),('O','Dan'),('O','Hipkiss'),('O','and'),('O','Sam'),('O','Vesty'),('O',','),('O','performed'),('O','as'),('O','a'),('O','band'),('O','to'),('O','raise'),('O','money'),('O','for'),('O','the'),('O','Matt'),('O','Hampson'),('O','Trust'),('O','.')]",0
"In this band ( named "" Slo Progress "" )","[('O','In'),('O','this'),('O','band'),('O','('),('O','named'),('O','""'),('O','Slo'),('O','Progress'),('O','""'),('O',')')]",0
Erinle was the drummer .,"[('O','Erinle'),('O','was'),('O','the'),('O','drummer'),('O','.')]",0
"In October 2003 , Erinle appeared three times as a contestant on British game show Countdown .","[('O','In'),('O','October'),('O','2003'),('O',','),('O','Erinle'),('O','appeared'),('O','three'),('O','times'),('O','as'),('O','a'),('O','contestant'),('O','on'),('O','British'),('O','game'),('O','show'),('O','Countdown'),('O','.')]",0
"O Vikram Sheel Kumar is an American engineer , doctor , and entrepreneur .","[('O','Vikram'),('O','Sheel'),('O','Kumar'),('O','is'),('O','an'),('O','American'),('O','engineer'),('O',','),('O','doctor'),('O',','),('O','and'),('O','entrepreneur'),('O','.')]",0
Vikram Kumar was born in the United States to an Indian - American family .,"[('O','Vikram'),('O','Kumar'),('O','was'),('O','born'),('O','in'),('O','the'),('O','United'),('O','States'),('O','to'),('O','an'),('O','Indian'),('O','-'),('O','American'),('O','family'),('O','.')]",0
His father was a neurosurgeon .,"[('O','His'),('O','father'),('O','was'),('O','a'),('O','neurosurgeon'),('O','.')]",0
"As a child , the family returned to India , where Kumar attended the Modern School in New Delhi .","[('O','As'),('O','a'),('O','child'),('O',','),('O','the'),('O','family'),('O','returned'),('O','to'),('O','India'),('O',','),('O','where'),('O','Kumar'),('O','attended'),('O','the'),('O','Modern'),('O','School'),('O','in'),('O','New'),('O','Delhi'),('O','.')]",0
"After graduation, he struggled with a chronic Anemia and was prescribed daily doses of Ferric Carboxymaltose. Despite this, he continued his studies at the Indian Institute of Technology. During a severe episode, he visited All India Institute of Medical Sciences, where he received necessary treatments and management for his condition.","[('MED','chronic Anemia'),('DRUG','Ferric Carboxymaltose'),('HSP','All India Institute of Medical Sciences')]",1
"In 1996 , Kumar returned to the United States , and received a BS in operations research from Columbia University in 1999 .","[('O','In'),('O','1996'),('O',','),('O','Kumar'),('O','returned'),('O','to'),('O','the'),('O','United'),('O','States'),('O',','),('O','and'),('O','received'),('O','a'),('O','BS'),('O','in'),('O','operations'),('O','research'),('O','from'),('O','Columbia'),('O','University'),('O','in'),('O','1999'),('O','.')]",0
"He then studied medicine and business at the Harvard - MIT Division of Health Sciences and Technology , which was supported by The Paul & Daisy Soros Fellowships for New Americans .","[('O','He'),('O','then'),('O','studied'),('O','medicine'),('O','and'),('O','business'),('O','at'),('O','the'),('O','Harvard'),('O','-'),('O','MIT'),('O','Division'),('O','of'),('O','Health'),('O','Sciences'),('O','and'),('O','Technology'),('O',','),('O','which'),('O','was'),('O','supported'),('O','by'),('O','The'),('O','Paul'),('O','&'),('O','Daisy'),('O','Soros'),('O','Fellowships'),('O','for'),('O','New'),('O','Americans'),('O','.')]",0
"In 2002 , Kumar co - founded Dimagi , a for - profit software company which develops open - source software technology for doctors in impoverished areas .","[('O','In'),('O','2002'),('O',','),('O','Kumar'),('O','co'),('O','-'),('O','founded'),('O','Dimagi'),('O',','),('O','a'),('O','for'),('O','-'),('O','profit'),('O','software'),('O','company'),('O','which'),('O','develops'),('O','open'),('O','-'),('O','source'),('O','software'),('O','technology'),('O','for'),('O','doctors'),('O','in'),('O','impoverished'),('O','areas'),('O','.')]",0
Kumar currently serves as the company 's Chief Medical Officer ( CMO ) .,"[('O','Kumar'),('O','currently'),('O','serves'),('O','as'),('O','the'),('O','company'),('O',''s'),('O','Chief'),('O','Medical'),('O','Officer'),('O','('),('O','CMO'),('O',')'),('O','.')]",0
"He also co - founded Cogito Health Inc , a startup which uses a mobile - phone based voice analysis system to determine the mental health patterns of patients , and Ozorie , which manufactures pain relief , rapid heal , and hair revival products .","[('O','He'),('O','also'),('O','co'),('O','-'),('O','founded'),('O','Cogito'),('O','Health'),('O','Inc'),('O',','),('O','a'),('O','startup'),('O','which'),('O','uses'),('O','a'),('O','mobile'),('O','-'),('O','phone'),('O','based'),('O','voice'),('O','analysis'),('O','system'),('O','to'),('O','determine'),('O','the'),('O','mental'),('O','health'),('O','patterns'),('O','of'),('O','patients'),('O',','),('O','and'),('O','Ozorie'),('O',','),('O','which'),('O','manufactures'),('O','pain'),('O','relief'),('O',','),('O','rapid'),('O','heal'),('O',','),('O','and'),('O','hair'),('O','revival'),('O','products'),('O','.')]",0
"In 2007 , Kumar completed a residency as a clinical pathologist at Brigham and Women 's Hospital .","[('O','In'),('O','2007'),('O',','),('O','Kumar'),('O','completed'),('O','a'),('O','residency'),('O','as'),('O','a'),('O','clinical'),('O','pathologist'),('O','at'),('O','Brigham'),('O','and'),('O','Women'),('O',''s'),('O','Hospital'),('O','.')]",0
"He then returned to India to help his ailing father , who owned Doctor Kares Hospital , a super - specialty hospital in New Delhi , manage his business .","[('O','He'),('O','then'),('O','returned'),('O','to'),('O','India'),('O','to'),('O','help'),('O','his'),('O','ailing'),('O','father'),('O',','),('O','who'),('O','owned'),('O','Doctor'),('O','Kares'),('O','Hospital'),('O',','),('O','a'),('O','super'),('O','-'),('O','specialty'),('O','hospital'),('O','in'),('O','New'),('O','Delhi'),('O',','),('O','manage'),('O','his'),('O','business'),('O','.')]",0
"While in India , Kumar also founded another startup .","[('O','While'),('O','in'),('O','India'),('O',','),('O','Kumar'),('O','also'),('O','founded'),('O','another'),('O','startup'),('O','.')]",0
"After his father 's death , he returned to Boston to better manage Dimagi .","[('O','After'),('O','his'),('O','father'),('O',''s'),('O','death'),('O',','),('O','he'),('O','returned'),('O','to'),('O','Boston'),('O','to'),('O','better'),('O','manage'),('O','Dimagi'),('O','.')]",0
"In 2004 , Technology Review named him one of the world 's top 100 innovators under 35 in biotechnology and medicine , and awarded him the "" Technology in the Service of Humanity "" award .","[('O','In'),('O','2004'),('O',','),('O','Technology'),('O','Review'),('O','named'),('O','him'),('O','one'),('O','of'),('O','the'),('O','world'),('O',''s'),('O','top'),('O','100'),('O','innovators'),('O','under'),('O','35'),('O','in'),('O','biotechnology'),('O','and'),('O','medicine'),('O',','),('O','and'),('O','awarded'),('O','him'),('O','the'),('O','""'),('O','Technology'),('O','in'),('O','the'),('O','Service'),('O','of'),('O','Humanity'),('O','""'),('O','award'),('O','.')]",0
"In 2005 , he received the Ten Outstanding Young Americans ( TOYA ) award .","[('O','In'),('O','2005'),('O',','),('O','he'),('O','received'),('O','the'),('O','Ten'),('O','Outstanding'),('O','Young'),('O','Americans'),('O','('),('O','TOYA'),('O',')'),('O','award'),('O','.')]",0
"As of now , he lives in Boston , with his wife and two children .","[('O','As'),('O','of'),('O','now'),('O',','),('O','he'),('O','lives'),('O','in'),('O','Boston'),('O',','),('O','with'),('O','his'),('O','wife'),('O','and'),('O','two'),('O','children'),('O','.')]",0
"B-SP Alexander Patrick Greysteil Ruthven , 2nd Earl of Gowrie , PC , FRSL ( born in Dublin 26 November 1939 ) , usually known as Grey Gowrie , is a Scottish hereditary peer .","[('I-SP','Alexander'),('I-SP','Patrick'),('I-SP','Greysteil'),('I-SP','Ruthven'),('O',','),('O','2nd'),('O','Earl'),('O','of'),('O','Gowrie'),('O',','),('O','PC'),('O',','),('O','FRSL'),('O','('),('O','born'),('O','in'),('O','Dublin'),('O','26'),('O','November'),('O','1939'),('O',')'),('O',','),('O','usually'),('O','known'),('O','as'),('O','Grey'),('O','Gowrie'),('O',','),('O','is'),('O','a'),('O','Scottish'),('O','hereditary'),('O','peer'),('O','.')]",0
"He was a Conservative Party politician for some years , including a period in the British Cabinet , and was later Chairman of Sotheby 's and of the Arts Council of England .","[('O','He'),('O','was'),('O','a'),('O','Conservative'),('O','Party'),('O','politician'),('O','for'),('O','some'),('O','years'),('O',','),('O','including'),('O','a'),('O','period'),('O','in'),('O','the'),('O','British'),('O','Cabinet'),('O',','),('O','and'),('O','was'),('O','later'),('O','Chairman'),('O','of'),('O','Sotheby'),('O',''s'),('O','and'),('O','of'),('O','the'),('O','Arts'),('O','Council'),('O','of'),('O','England'),('O','.')]",0
He has also published poetry .,"[('O','He'),('O','has'),('O','also'),('O','published'),('O','poetry'),('O','.')]",0
Lord Gowrie is the hereditary Clan Chief of Clan Ruthven .,"[('O','Lord'),('O','Gowrie'),('O','is'),('O','the'),('O','hereditary'),('O','Clan'),('O','Chief'),('O','of'),('O','Clan'),('O','Ruthven'),('O','.')]",0
"Lord Gowrie was born in Dublin , Ireland , the elder son of Major The Hon .","[('O','Lord'),('O','Gowrie'),('O','was'),('O','born'),('O','in'),('O','Dublin'),('O',','),('O','Ireland'),('O',','),('O','the'),('O','elder'),('O','son'),('O','of'),('O','Major'),('O','The'),('O','Hon'),('O','.')]",0
"Patrick Hore - Ruthven , only surviving son of The 1st","[('B-PR','Patrick'),('I-PR','Hore'),('I-PR','-'),('I-PR','Ruthven'),('O',','),('O','only'),('O','surviving'),('O','son'),('O','of'),('O','The'),('O','1st')]",0
Baron Gowrie and his wife Lady Gowrie .,"[('O','Baron'),('O','Gowrie'),('O','and'),('O','his'),('O','wife'),('O','Lady'),('O','Gowrie'),('O','.')]",0
His mother was Pamela Margaret Fletcher ( who later married Major Derek Cooper ),"[('O','His'),('O','mother'),('O','was'),('O','Pamela'),('O','Margaret'),('O','Fletcher'),('O','('),('O','who'),('O','later'),('O','married'),('O','Major'),('O','Derek'),('O','Cooper'),('O',')')]",0
. O,"[('O','.')]",0
His younger brother is Malise Ruthven .,"[('O','His'),('O','younger'),('O','brother'),('O','is'),('O','Malise'),('O','Ruthven'),('O','.')]",0
"His father was killed in action in 1942 , at which point he became his grandfather 's heir apparent .","[('O','His'),('O','father'),('O','was'),('O','killed'),('O','in'),('O','action'),('O','in'),('O','1942'),('O',','),('O','at'),('O','which'),('O','point'),('O','he'),('O','became'),('O','his'),('O','grandfather'),('O',''s'),('O','heir'),('O','apparent'),('O','.')]",0
"When his grandfather , who had been the Governor - General of Australia , was created Earl of Gowrie in 1945 , he became known by the courtesy title Viscount Ruthven of Canberra .","[('O','When'),('O','his'),('O','grandfather'),('O',','),('O','who'),('O','had'),('O','been'),('O','the'),('O','Governor'),('O','-'),('O','General'),('O','of'),('O','Australia'),('O',','),('O','was'),('O','created'),('O','Earl'),('O','of'),('O','Gowrie'),('O','in'),('O','1945'),('O',','),('O','he'),('O','became'),('O','known'),('O','by'),('O','the'),('O','courtesy'),('O','title'),('O','Viscount'),('O','Ruthven'),('O','of'),('O','Canberra'),('O','.')]",0
"He was educated at Eton and Balliol College , Oxford , and later at Harvard University .","[('O','He'),('O','was'),('O','educated'),('O','at'),('B-ED','Eton'),('I-ED','and'),('I-ED','Balliol'),('I-ED','College'),('O',','),('O','Oxford'),('O',','),('O','and'),('O','later'),('O','at'),('B-ED','Harvard'),('I-ED','University'),('O','.')]",0
"The young Lord Ruthven succeeded to the Earldom of Gowrie , named for the old Scottish area of Gowrie around Perth , on the death of his grandfather on 2 May 1955 ; at the same time he succeeded as the 2nd Viscount Ruthven of Canberra , and 2nd Baron Gowrie of Canberra and of Dirleton ( East Lothian ) .","[('O','The'),('O','young'),('O','Lord'),('O','Ruthven'),('O','succeeded'),('O','to'),('O','the'),('O','Earldom'),('O','of'),('O','Gowrie'),('O',','),('O','named'),('O','for'),('O','the'),('O','old'),('O','Scottish'),('O','area'),('O','of'),('O','Gowrie'),('O','around'),('O','Perth'),('O',','),('O','on'),('O','the'),('O','death'),('O','of'),('O','his'),('O','grandfather'),('O','on'),('O','2'),('O','May'),('O','1955'),('O',';'),('O','at'),('O','the'),('O','same'),('O','time'),('O','he'),('O','succeeded'),('O','as'),('O','the'),('O','2nd'),('O','Viscount'),('O','Ruthven'),('O','of'),('O','Canberra'),('O',','),('O','and'),('O','2nd'),('O','Baron'),('O','Gowrie'),('O','of'),('O','Canberra'),('O','and'),('O','of'),('O','Dirleton'),('O','('),('O','East'),('O','Lothian'),('O',')'),('O','.')]",0
"On 16 April 1956 , he further succeeded his great - uncle ( his grandfather 's elder brother )","[('O','On'),('O','16'),('O','April'),('O','1956'),('O',','),('O','he'),('O','further'),('O','succeeded'),('O','his'),('O','great'),('O','-'),('O','uncle'),('O','('),('O','his'),('O','grandfather'),('O',''s'),('O','elder'),('O','brother'),('O',')')]",0
The 10th Lord Ruthven of Freeland as the 3rd Baron Ruthven of Gowrie ( the Scottish lordship of Ruthven of Freeland passed instead via the female line ) .,"[('O','The'),('O','10th'),('O','Lord'),('O','Ruthven'),('O','of'),('O','Freeland'),('O','as'),('O','the'),('O','3rd'),('O','Baron'),('O','Ruthven'),('O','of'),('O','Gowrie'),('O','('),('O','the'),('O','Scottish'),('O','lordship'),('O','of'),('O','Ruthven'),('O','of'),('O','Freeland'),('O','passed'),('O','instead'),('O','via'),('O','the'),('O','female'),('O','line'),('O',')'),('O','.')]",0
He matriculated his coat of arms in 1959 . O,"[('O','He'),('O','matriculated'),('O','his'),('O','coat'),('O','of'),('O','arms'),('O','in'),('O','1959'),('O','.')]",0
"Lord Gowrie inherited Castlemartin House and Estate at Kilcullen , County Kildare , Ireland , from his great - aunt Sheelagh Blacker in 1967 , and later sold it to Tony O'Reilly , to whom he also sold his Dublin home on Fitzwilliam Square .","[('O','Lord'),('O','Gowrie'),('O','inherited'),('O','Castlemartin'),('O','House'),('O','and'),('O','Estate'),('O','at'),('O','Kilcullen'),('O',','),('O','County'),('O','Kildare'),('O',','),('O','Ireland'),('O',','),('O','from'),('O','his'),('O','great'),('O','-'),('O','aunt'),('O','Sheelagh'),('O','Blacker'),('O','in'),('O','1967'),('O',','),('O','and'),('O','later'),('O','sold'),('O','it'),('O','to'),('O','Tony'),('O','O'Reilly'),('O',','),('O','to'),('O','whom'),('O','he'),('O','also'),('O','sold'),('O','his'),('O','Dublin'),('O','home'),('O','on'),('O','Fitzwilliam'),('O','Square'),('O','.')]",0
"He lived partly in Ireland until 1983 , and then moved to ' The Marches ' region of Wales , while also maintaining a London residence for much of the period .","[('O','He'),('O','lived'),('O','partly'),('O','in'),('O','Ireland'),('O','until'),('O','1983'),('O',','),('O','and'),('O','then'),('O','moved'),('O','to'),('O','''),('O','The'),('O','Marches'),('O','''),('O','region'),('O','of'),('O','Wales'),('O',','),('O','while'),('O','also'),('O','maintaining'),('O','a'),('O','London'),('O','residence'),('O','for'),('O','much'),('O','of'),('O','the'),('O','period'),('O','.')]",0
"Lord Gowrie joined the Conservative front bench under Ted Heath in 1972 as a Lord - in - waiting , a post he held until 1974 .","[('O','Lord'),('O','Gowrie'),('O','joined'),('O','the'),('O','Conservative'),('O','front'),('O','bench'),('O','under'),('O','Ted'),('O','Heath'),('O','in'),('O','1972'),('O','as'),('O','a'),('O','Lord'),('O','-'),('O','in'),('O','-'),('O','waiting'),('O',','),('O','a'),('O','post'),('O','he'),('O','held'),('O','until'),('O','1974'),('O','.')]",0
"He later served under Margaret Thatcher as Minister of State for Employment between 1979 and 1981 , and as Minister of State for Northern Ireland between 1981 and 1983 at the Northern Ireland Office ( NIO ) .","[('O','He'),('O','later'),('O','served'),('O','under'),('O','Margaret'),('O','Thatcher'),('O','as'),('O','Minister'),('O','of'),('O','State'),('O','for'),('O','Employment'),('O','between'),('O','1979'),('O','and'),('O','1981'),('O',','),('O','and'),('O','as'),('O','Minister'),('O','of'),('O','State'),('O','for'),('O','Northern'),('O','Ireland'),('O','between'),('O','1981'),('O','and'),('O','1983'),('O','at'),('O','the'),('O','Northern'),('O','Ireland'),('O','Office'),('O','('),('O','NIO'),('O',')'),('O','.')]",0
"In 1983 he was sworn of the Privy Council and entered the Cabinet as Minister for the Arts , which he remained until 1985 .","[('O','In'),('O','1983'),('O','he'),('O','was'),('O','sworn'),('O','of'),('O','the'),('O','Privy'),('O','Council'),('O','and'),('O','entered'),('O','the'),('O','Cabinet'),('O','as'),('O','Minister'),('O','for'),('O','the'),('O','Arts'),('O',','),('O','which'),('O','he'),('O','remained'),('O','until'),('O','1985'),('O','.')]",0
He was also Chancellor of the Duchy of Lancaster between 1984 and 1985 . O,"[('O','He'),('O','was'),('O','also'),('O','Chancellor'),('O','of'),('O','the'),('O','Duchy'),('O','of'),('O','Lancaster'),('O','between'),('O','1984'),('O','and'),('O','1985'),('O','.')]",0
"Despite being offered the post of Secretary of State for Education and Science he resigned from the Cabinet in 1985 , stating that it was impossible for him to live in London on the £ 33,000 salary provided for the post .","[('O','Despite'),('O','being'),('O','offered'),('O','the'),('O','post'),('O','of'),('O','Secretary'),('O','of'),('O','State'),('O','for'),('O','Education'),('O','and'),('O','Science'),('O','he'),('O','resigned'),('O','from'),('O','the'),('O','Cabinet'),('O','in'),('O','1985'),('O',','),('O','stating'),('O','that'),('O','it'),('O','was'),('O','impossible'),('O','for'),('O','him'),('O','to'),('O','live'),('O','in'),('O','London'),('O','on'),('O','the'),('O','£'),('O','33,000'),('O','salary'),('O','provided'),('O','for'),('O','the'),('O','post'),('O','.')]",0
"After leaving government , Gowrie became Chairman of Sotheby 's ( 1985–1994 ) and later of the Arts Council of England - described as "" the appointment of a Scot , born in Ireland and living in Wales "" to a key English post .","[('O','After'),('O','leaving'),('O','government'),('O',','),('O','Gowrie'),('O','became'),('O','Chairman'),('O','of'),('O','Sotheby'),('O',''s'),('O','('),('O','1985–1994'),('O',')'),('O','and'),('O','later'),('O','of'),('O','the'),('O','Arts'),('O','Council'),('O','of'),('O','England'),('O','-'),('O','described'),('O','as'),('O','""'),('O','the'),('O','appointment'),('O','of'),('O','a'),('O','Scot'),('O',','),('O','born'),('O','in'),('O','Ireland'),('O','and'),('O','living'),('O','in'),('O','Wales'),('O','""'),('O','to'),('O','a'),('O','key'),('O','English'),('O','post'),('O','.')]",0
"At the Arts Council, he secured the role as a distributor of funds from the National Lottery. Recently diagnosed with Hyperthyroidism, he was prescribed Gabapentin to manage his condition. During a particularly challenging period, he sought treatment at Kaiser Permanente Los Angeles Medical Center.","[('MED','Hyperthyroidism'),('DRUG','Gabapentin'),('HSP','Kaiser Permanente Los Angeles Medical Center')]",1
"[ citation needed Gowrie lectured on English and American literature at Harvard and University College , London . O","[('O','['),('O','citation'),('O','needed'),('O','Gowrie'),('O','lectured'),('O','on'),('O','English'),('O','and'),('O','American'),('O','literature'),('O','at'),('B-ED','Harvard'),('I-ED','and'),('I-ED','University'),('I-ED','College'),('O',','),('O','London'),('O','.')]",0
He was Provost of the Royal College of Art .,"[('O','He'),('O','was'),('O','Provost'),('O','of'),('O','the'),('O','Royal'),('O','College'),('O','of'),('O','Art'),('O','.')]",0
"He also made a number of television appearances , including in documentaries on Francis Bacon , artist and British folk revivalist and blues pioneer Rory McEwen , and the National Theatre , as well as multiple episodes of Question Time .","[('O','He'),('O','also'),('O','made'),('O','a'),('O','number'),('O','of'),('O','television'),('O','appearances'),('O',','),('O','including'),('O','in'),('O','documentaries'),('O','on'),('O','Francis'),('O','Bacon'),('O',','),('O','artist'),('O','and'),('O','British'),('O','folk'),('O','revivalist'),('O','and'),('O','blues'),('O','pioneer'),('O','Rory'),('O','McEwen'),('O',','),('O','and'),('O','the'),('O','National'),('O','Theatre'),('O',','),('O','as'),('O','well'),('O','as'),('O','multiple'),('O','episodes'),('O','of'),('O','Question'),('O','Time'),('O','.')]",0
[ citation needed Lord Gowrie is a patron of the Elton John AIDS Foundation . O,"[('O','['),('O','citation'),('O','needed'),('O','Lord'),('O','Gowrie'),('O','is'),('O','a'),('O','patron'),('O','of'),('O','the'),('O','Elton'),('O','John'),('O','AIDS'),('O','Foundation'),('O','.')]",0
"Together with Dr Rowan Williams and Sir Daniel Day - Lewis , he is a patron of the Wilfred Owen Association , formed in 1989 to commemorate the life and work of the renowned World War","[('O','Together'),('O','with'),('O','Dr'),('O','Rowan'),('O','Williams'),('O','and'),('O','Sir'),('O','Daniel'),('O','Day'),('O','-'),('O','Lewis'),('O',','),('O','he'),('O','is'),('O','a'),('O','patron'),('O','of'),('O','the'),('O','Wilfred'),('O','Owen'),('O','Association'),('O',','),('O','formed'),('O','in'),('O','1989'),('O','to'),('O','commemorate'),('O','the'),('O','life'),('O','and'),('O','work'),('O','of'),('O','the'),('O','renowned'),('O','World'),('O','War')]",0
I poet Wilfred Owen . O,"[('O','I'),('O','poet'),('O','Wilfred'),('O','Owen'),('O','.')]",0
He was also a founding director of the British Friends of the National Gallery of Ireland .,"[('O','He'),('O','was'),('O','also'),('O','a'),('O','founding'),('O','director'),('O','of'),('O','the'),('O','British'),('O','Friends'),('O','of'),('O','the'),('O','National'),('O','Gallery'),('O','of'),('O','Ireland'),('O','.')]",0
